x   y   z   z_sp   dzdx   dzdx_sp   dzdy   dzdy_sp
-5.000000e+00   -5.952953e+00   2.435758e-19   2.435758e-19   2.435758e-18   2.435908e-18   7.307273e-19   7.307273e-19
-5.000000e+00   -5.951952e+00   2.443083e-19   2.443083e-19   2.443083e-18   2.443234e-18   7.329250e-19   7.329250e-19
-5.000000e+00   -5.950951e+00   2.450431e-19   2.450431e-19   2.450431e-18   2.450582e-18   7.351293e-19   7.351293e-19
-5.000000e+00   -5.949950e+00   2.457801e-19   2.457801e-19   2.457801e-18   2.457952e-18   7.373402e-19   7.373402e-19
-5.000000e+00   -5.948949e+00   2.465193e-19   2.465193e-19   2.465193e-18   2.465345e-18   7.395578e-19   7.395578e-19
-5.000000e+00   -5.947948e+00   2.472607e-19   2.472607e-19   2.472607e-18   2.472759e-18   7.417820e-19   7.417820e-19
-5.000000e+00   -5.946947e+00   2.480043e-19   2.480043e-19   2.480043e-18   2.480196e-18   7.440129e-19   7.440129e-19
-5.000000e+00   -5.945946e+00   2.487502e-19   2.487502e-19   2.487502e-18   2.487655e-18   7.462506e-19   7.462506e-19
-5.000000e+00   -5.944945e+00   2.494983e-19   2.494983e-19   2.494983e-18   2.495137e-18   7.484949e-19   7.484949e-19
-5.000000e+00   -5.943944e+00   2.502487e-19   2.502487e-19   2.502487e-18   2.502641e-18   7.507460e-19   7.507460e-19
-5.000000e+00   -5.942943e+00   2.510013e-19   2.510013e-19   2.510013e-18   2.510168e-18   7.530039e-19   7.530039e-19
-5.000000e+00   -5.941942e+00   2.517562e-19   2.517562e-19   2.517562e-18   2.517717e-18   7.552686e-19   7.552686e-19
-5.000000e+00   -5.940941e+00   2.525134e-19   2.525134e-19   2.525134e-18   2.525289e-18   7.575401e-19   7.575401e-19
-5.000000e+00   -5.939940e+00   2.532728e-19   2.532728e-19   2.532728e-18   2.532884e-18   7.598184e-19   7.598184e-19
-5.000000e+00   -5.938939e+00   2.540345e-19   2.540345e-19   2.540345e-18   2.540502e-18   7.621035e-19   7.621035e-19
-5.000000e+00   -5.937938e+00   2.547985e-19   2.547985e-19   2.547985e-18   2.548142e-18   7.643956e-19   7.643956e-19
-5.000000e+00   -5.936937e+00   2.555648e-19   2.555648e-19   2.555648e-18   2.555806e-18   7.666945e-19   7.666945e-19
-5.000000e+00   -5.935936e+00   2.563335e-19   2.563335e-19   2.563335e-18   2.563493e-18   7.690004e-19   7.690004e-19
-5.000000e+00   -5.934935e+00   2.571044e-19   2.571044e-19   2.571044e-18   2.571202e-18   7.713131e-19   7.713131e-19
-5.000000e+00   -5.933934e+00   2.578776e-19   2.578776e-19   2.578776e-18   2.578935e-18   7.736329e-19   7.736329e-19
-5.000000e+00   -5.932933e+00   2.586532e-19   2.586532e-19   2.586532e-18   2.586692e-18   7.759596e-19   7.759596e-19
-5.000000e+00   -5.931932e+00   2.594311e-19   2.594311e-19   2.594311e-18   2.594471e-18   7.782933e-19   7.782933e-19
-5.000000e+00   -5.930931e+00   2.602113e-19   2.602113e-19   2.602113e-18   2.602274e-18   7.806340e-19   7.806340e-19
-5.000000e+00   -5.929930e+00   2.609939e-19   2.609939e-19   2.609939e-18   2.610100e-18   7.829818e-19   7.829818e-19
-5.000000e+00   -5.928929e+00   2.617789e-19   2.617789e-19   2.617789e-18   2.617950e-18   7.853366e-19   7.853366e-19
-5.000000e+00   -5.927928e+00   2.625662e-19   2.625662e-19   2.625662e-18   2.625824e-18   7.876985e-19   7.876985e-19
-5.000000e+00   -5.926927e+00   2.633559e-19   2.633559e-19   2.633559e-18   2.633721e-18   7.900676e-19   7.900676e-19
-5.000000e+00   -5.925926e+00   2.641479e-19   2.641479e-19   2.641479e-18   2.641642e-18   7.924437e-19   7.924437e-19
-5.000000e+00   -5.924925e+00   2.649423e-19   2.649423e-19   2.649423e-18   2.649587e-18   7.948270e-19   7.948270e-19
-5.000000e+00   -5.923924e+00   2.657391e-19   2.657391e-19   2.657391e-18   2.657555e-18   7.972174e-19   7.972174e-19
